method,frac_removed,prob,example_idx
LIME,0.5,0.9035621881484985,45
LIME,0.0,0.20427407324314117,46
LIME,0.1,0.163346529006958,46
LIME,0.3,0.32985639572143555,46
LIME,0.5,0.28927674889564514,46
LIME,0.0,0.043862756341695786,47
LIME,0.1,0.09163226187229156,47
LIME,0.3,0.05946836248040199,47
LIME,0.5,0.06310846656560898,47
LIME,0.0,0.7748938798904419,48
LIME,0.1,0.920384407043457,48
LIME,0.3,0.9539874196052551,48
LIME,0.5,0.9433040022850037,48
LIME,0.0,0.04319007694721222,49
LIME,0.1,0.06587833166122437,49
LIME,0.3,0.03986073285341263,49
LIME,0.5,0.03437924385070801,49
LIME,0.0,0.9451884627342224,50
LIME,0.1,0.9293047189712524,50
LIME,0.3,0.8590787053108215,50
LIME,0.5,0.9402151703834534,50
LIME,0.0,0.02196159027516842,51
LIME,0.1,0.02179061807692051,51
LIME,0.3,0.022533874958753586,51
LIME,0.5,0.024280663579702377,51
LIME,0.0,0.1174033135175705,52
LIME,0.1,0.1308295726776123,52
LIME,0.3,0.1914394497871399,52
LIME,0.5,0.1562274545431137,52
LIME,0.0,0.03561120852828026,53
LIME,0.1,0.04392971098423004,53
LIME,0.3,0.0297610554844141,53
LIME,0.5,0.03375666216015816,53
LIME,0.0,0.10712872445583344,54
LIME,0.1,0.5599474310874939,54
LIME,0.3,0.7847279906272888,54
LIME,0.5,0.809234619140625,54
LIME,0.0,0.8563950657844543,55
LIME,0.1,0.8467139601707458,55
LIME,0.3,0.8416746258735657,55
LIME,0.5,0.8685490489006042,55
LIME,0.0,0.03153211623430252,56
LIME,0.1,0.04400056600570679,56
LIME,0.3,0.047804996371269226,56
LIME,0.5,0.06687983870506287,56
LIME,0.0,0.041220322251319885,57
LIME,0.1,0.03249054402112961,57
LIME,0.3,0.03172238916158676,57
LIME,0.5,0.027297111228108406,57
LIME,0.0,0.9223710894584656,58
LIME,0.1,0.8978543281555176,58
LIME,0.3,0.8234207034111023,58
LIME,0.5,0.7195056080818176,58
LIME,0.0,0.0271989107131958,59
LIME,0.1,0.03286387026309967,59
LIME,0.3,0.055947888642549515,59
LIME,0.5,0.046234067529439926,59
LIME,0.0,0.08104616403579712,60
LIME,0.1,0.13941480219364166,60
LIME,0.3,0.5743574500083923,60
LIME,0.5,0.5731269717216492,60
LIME,0.0,0.8456498384475708,61
LIME,0.1,0.8553467392921448,61
LIME,0.3,0.32797175645828247,61
LIME,0.5,0.08566153794527054,61
LIME,0.0,0.5960094928741455,62
LIME,0.1,0.9212477207183838,62
LIME,0.3,0.9439970850944519,62
LIME,0.5,0.9230706095695496,62
LIME,0.0,0.4565182626247406,63
LIME,0.1,0.7414983510971069,63
LIME,0.3,0.49314743280410767,63
LIME,0.5,0.23791301250457764,63
LIME,0.0,0.9470124840736389,64
LIME,0.1,0.9027000069618225,64
LIME,0.3,0.8188241124153137,64
LIME,0.5,0.4240620732307434,64
LIME,0.0,0.872902512550354,65
LIME,0.1,0.8415183424949646,65
LIME,0.3,0.671183168888092,65
LIME,0.5,0.9295100569725037,65
LIME,0.0,0.009271470829844475,66
LIME,0.1,0.01831272803246975,66
LIME,0.3,0.018200544640421867,66
LIME,0.5,0.046536609530448914,66
LIME,0.0,0.04922068491578102,67
LIME,0.1,0.061726123094558716,67
LIME,0.3,0.07786960899829865,67
LIME,0.5,0.08143474906682968,67
LIME,0.0,0.05134675279259682,68
LIME,0.1,0.1487848460674286,68
LIME,0.3,0.1780230849981308,68
LIME,0.5,0.14135992527008057,68
LIME,0.0,0.0796201154589653,69
LIME,0.1,0.25284695625305176,69
LIME,0.3,0.40493345260620117,69
LIME,0.5,0.8715683221817017,69
LIME,0.0,0.08550234138965607,70
LIME,0.1,0.019869714975357056,70
LIME,0.3,0.021024754270911217,70
LIME,0.5,0.019087888300418854,70
LIME,0.0,0.024912022054195404,71
LIME,0.1,0.09971373528242111,71
LIME,0.3,0.016873564571142197,71
LIME,0.5,0.01899261772632599,71
LIME,0.0,0.031446442008018494,72
LIME,0.1,0.035937387496232986,72
LIME,0.3,0.03132515028119087,72
LIME,0.5,0.034511227160692215,72
LIME,0.0,0.11874169111251831,73
LIME,0.1,0.12928497791290283,73
LIME,0.3,0.3291396200656891,73
LIME,0.5,0.6611490845680237,73
LIME,0.0,0.1286563128232956,74
LIME,0.1,0.17527854442596436,74
LIME,0.3,0.11704768985509872,74
LIME,0.5,0.0434645377099514,74
LIME,0.0,0.007156727835536003,75
LIME,0.1,0.14820635318756104,75
LIME,0.3,0.1765199452638626,75
LIME,0.5,0.4072302281856537,75
LIME,0.0,0.033937059342861176,76
LIME,0.1,0.07579979300498962,76
LIME,0.3,0.08436448127031326,76
LIME,0.5,0.0777837410569191,76
LIME,0.0,0.12482298165559769,77
LIME,0.1,0.08651892840862274,77
LIME,0.3,0.07304633408784866,77
LIME,0.5,0.09683922678232193,77
LIME,0.0,0.06231209635734558,78
LIME,0.1,0.10179473459720612,78
LIME,0.3,0.14900556206703186,78
LIME,0.5,0.22473829984664917,78
LIME,0.0,0.31334978342056274,79
LIME,0.1,0.8220996856689453,79
LIME,0.3,0.8830335140228271,79
LIME,0.5,0.8666132092475891,79
ATTN,0.0,0.7922571301460266,0
ATTN,0.1,0.65439373254776,0
ATTN,0.3,0.6206957697868347,0
ATTN,0.5,0.8158872127532959,0
ATTN,0.0,0.853218138217926,1
ATTN,0.1,0.8638467192649841,1
ATTN,0.3,0.8920980095863342,1
ATTN,0.5,0.9112845063209534,1
ATTN,0.0,0.6660041213035583,2
ATTN,0.1,0.6097595691680908,2
ATTN,0.3,0.3496054410934448,2
ATTN,0.5,0.3763844966888428,2
ATTN,0.0,0.9201147556304932,3
ATTN,0.1,0.9372509717941284,3
ATTN,0.3,0.8865860104560852,3
ATTN,0.5,0.36227497458457947,3
ATTN,0.0,0.9355360865592957,4
ATTN,0.1,0.9378977417945862,4
ATTN,0.3,0.9535359740257263,4
ATTN,0.5,0.9499305486679077,4
ATTN,0.0,0.9340212941169739,5
ATTN,0.1,0.9410219192504883,5
ATTN,0.3,0.9456675052642822,5
ATTN,0.5,0.9269636869430542,5
ATTN,0.0,0.6317969560623169,6
ATTN,0.1,0.49169155955314636,6
ATTN,0.3,0.2438923865556717,6
ATTN,0.5,0.6068819165229797,6
ATTN,0.0,0.9513011574745178,7
ATTN,0.1,0.9486802220344543,7
ATTN,0.3,0.9427399039268494,7
ATTN,0.5,0.9377284049987793,7
ATTN,0.0,0.8849202990531921,8
ATTN,0.1,0.8386560082435608,8
ATTN,0.3,0.6202638149261475,8
ATTN,0.5,0.19211657345294952,8
ATTN,0.0,0.6391831040382385,9
ATTN,0.1,0.6317681074142456,9
ATTN,0.3,0.1217406839132309,9
ATTN,0.5,0.00836161244660616,9
ATTN,0.0,0.9094365239143372,10
ATTN,0.1,0.9179760217666626,10
ATTN,0.3,0.9391663074493408,10
ATTN,0.5,0.9373005032539368,10
ATTN,0.0,0.790092408657074,11
ATTN,0.1,0.9064114689826965,11
ATTN,0.3,0.8443004488945007,11
ATTN,0.5,0.6678589582443237,11
ATTN,0.0,0.91774982213974,12
ATTN,0.1,0.8783908486366272,12
ATTN,0.3,0.8748801350593567,12
ATTN,0.5,0.9123421907424927,12
ATTN,0.0,0.7598719596862793,13
ATTN,0.1,0.46183228492736816,13
ATTN,0.3,0.2407882809638977,13
ATTN,0.5,0.3588583767414093,13
ATTN,0.0,0.9376198053359985,14
ATTN,0.1,0.9305221438407898,14
ATTN,0.3,0.9330830574035645,14
ATTN,0.5,0.9330682158470154,14
ATTN,0.0,0.7736265659332275,15
ATTN,0.1,0.8147020936012268,15
ATTN,0.3,0.8040174841880798,15
ATTN,0.5,0.9213130474090576,15
ATTN,0.0,0.8953236937522888,16
ATTN,0.1,0.8212774395942688,16
ATTN,0.3,0.934316873550415,16
ATTN,0.5,0.9256277680397034,16
ATTN,0.0,0.9258288145065308,17
ATTN,0.1,0.9250253438949585,17
ATTN,0.3,0.8544874787330627,17
ATTN,0.5,0.9274716377258301,17
ATTN,0.0,0.9101684093475342,18
ATTN,0.1,0.9255813956260681,18
ATTN,0.3,0.9347925782203674,18
ATTN,0.5,0.9507094025611877,18
ATTN,0.0,0.9218934178352356,19
ATTN,0.1,0.9248444437980652,19
ATTN,0.3,0.8812052011489868,19
ATTN,0.5,0.9420784115791321,19
ATTN,0.0,0.9069942831993103,20
ATTN,0.1,0.9019526839256287,20
ATTN,0.3,0.804935872554779,20
ATTN,0.5,0.9019930958747864,20
ATTN,0.0,0.9266515970230103,21
ATTN,0.1,0.9273994565010071,21
ATTN,0.3,0.9168019890785217,21
ATTN,0.5,0.9295560717582703,21
ATTN,0.0,0.9372063875198364,22
ATTN,0.1,0.8781446814537048,22
ATTN,0.3,0.574862003326416,22
ATTN,0.5,0.16768452525138855,22
ATTN,0.0,0.3841181993484497,23
ATTN,0.1,0.1476448029279709,23
ATTN,0.3,0.023839913308620453,23
ATTN,0.5,0.020499367266893387,23
ATTN,0.0,0.9454274773597717,24
ATTN,0.1,0.9463285207748413,24
ATTN,0.3,0.9444276094436646,24
ATTN,0.5,0.9459434151649475,24
ATTN,0.0,0.9266882538795471,25
ATTN,0.1,0.8780360221862793,25
ATTN,0.3,0.38020724058151245,25
ATTN,0.5,0.122579425573349,25
ATTN,0.0,0.9416292905807495,26
